Date,Close,High,Low,Open,Volume
2020-01-02,151.8295440673828,151.93352453696647,149.66487810348934,150.0902475068035,22622100
2020-01-03,149.9390106201172,151.19622386441185,149.4096607117201,149.65544061469248,21116200
2020-01-06,150.32655334472656,150.39272928536337,147.9444646847199,148.4832764629302,20813700
2020-01-07,148.9559783935547,150.9315936095211,148.71021284150058,150.60075703064527,21634100
2020-01-08,151.32855224609375,151.9997015405678,149.3056712613287,150.23203354534573,27746500
2020-01-09,153.2190399169922,153.34192981630176,152.2170545267061,152.98272206367199,21385000
2020-01-10,152.51010131835938,154.28721636524628,152.35885441570974,153.90911353232073,20725900
2020-01-13,154.34397888183594,154.3723358820374,152.43452580062083,152.9071617022491,21626500
2020-01-14,153.2569122314453,154.6464628468558,152.86934735532085,154.44794943449625,23477400
2020-01-15,154.24942016601562,154.96783584765552,153.67281830910034,153.72007035240767,21417900
2020-01-16,157.07583618164062,157.14201214066856,155.05295481159047,155.35544875508083,23865400
2020-01-17,157.9549560546875,158.30470207707603,156.37633913096872,158.25743559260854,34371700
2020-01-21,157.3877410888672,158.98525260050442,157.32156514521276,157.55788307477562,29517200
2020-01-22,156.63153076171875,158.3235753219564,156.61262128751815,158.2384898999051,24138800
2020-01-23,157.59573364257812,157.6713571260564,156.22509226083278,157.09474068527607,19680800
2020-01-24,156.00762939453125,158.36136103516702,155.44992257333556,158.34245156321265,24918100
2020-01-27,153.39871215820312,154.43851694569852,151.4325450114777,152.33055036956728,32078100
2020-01-28,156.40467834472656,156.6882483457103,154.14547932010373,154.81661422070258,24899900
2020-01-29,158.84347534179688,159.51462470178666,156.6220951483202,158.6544238565207,34754500
2020-01-30,163.32403564453125,164.52453468683692,161.44293985569806,164.52453468683692,51597500
2020-01-31,160.91360473632812,162.9648426873359,160.29918387299614,162.7852531721158,36142700
2020-02-03,164.83653259277344,164.94996061485972,161.07433972491364,161.1026967304352,30107000
2020-02-04,170.26231384277344,170.7538591072496,166.6608313996974,167.44540854870948,36433300
2020-02-05,170.0543975830078,174.11906936388917,168.64595177807354,173.9583748825606,39186300
2020-02-06,173.5802764892578,173.75988045068001,170.20564902136644,171.0658498767549,27751400
2020-02-07,173.8260498046875,175.47082810975607,172.49321295870286,172.84297337121157,33529100
2020-02-10,178.372802734375,178.5051402220091,173.22107381930567,173.53301527380845,35844300
2020-02-11,174.34591674804688,180.2633124685266,173.45735903159144,180.2160459982191,53159900
2020-02-12,174.6011962890625,175.67880578484775,171.89771781034432,175.42357830793108,47062900
2020-02-13,173.65586853027344,176.03794280419976,172.86182934859667,173.06034274994119,35295800
2020-02-14,175.20608520507812,175.26279918952332,172.653840515452,173.22100920730202,23149500
2020-02-18,176.98324584960938,177.42752477655208,175.34792957469273,175.4519100559709,27792200
2020-02-19,177.51400756835938,178.36706995832807,176.7462485247681,178.25333216315812,29997500
2020-02-20,174.8031768798828,177.4856045751215,171.65631012999017,177.20124557370298,36862400
2020-02-21,169.2771453857422,173.93110932996493,168.0070252247209,173.61831595363654,48572600
2020-02-24,161.97874450683594,165.44789308309143,154.71818051515862,159.02144511099954,68311100
2020-02-25,159.3057861328125,165.72274558384058,158.9076748317135,165.11611976454265,68073300
2020-02-26,161.29624938964844,164.2251136153781,159.43846438675976,160.86024482213514,56206100
2020-02-27,149.93142700195312,158.31993443345746,149.7418592358991,154.80340681441123,93174900
2020-02-28,153.56175231933594,155.17311496563838,144.07374325016832,144.46236668665765,97012700
2020-03-02,163.77963256835938,163.9028581761286,153.84612995671205,156.68969102388243,71030800
2020-03-03,155.93141174316406,165.87440256658573,153.79874085302225,164.73698098446346,71677000
2020-03-04,161.6564483642578,161.79862063132381,156.98352219099715,159.70387209335476,49814400
2020-03-05,157.59959411621094,161.959711223559,157.04983739033096,157.3910652042187,47817300
2020-03-06,153.14476013183594,154.60444876040788,147.86520701596388,154.1305218148439,72821100
2020-03-09,142.76576232910156,149.52396585787585,142.17809748767908,143.1259514709303,70419300
2020-03-10,152.5286102294922,152.63287471129829,144.6235141245197,149.91253931749316,65354400
2020-03-11,145.61880493164062,149.47656293341387,143.26811675505746,148.93629371027805,56371600
2020-03-12,131.8085174560547,145.46709111192325,131.35355178409353,137.72312904394167,93226400
2020-03-13,150.547607421875,153.46699860222324,133.39144937999532,139.80842308587606,92727400
2020-03-16,128.3583526611328,141.56196287538836,127.9602558230332,132.6995245572196,87905900
2020-03-17,138.9269256591797,139.8084226699975,127.96025125728585,132.69951982237052,81059800
2020-03-18,133.07862854003906,138.3866140419556,127.97918643285101,130.8037858752731,81593200
2020-03-19,135.26820373535156,142.3202228977112,131.7516602526152,135.32507264150863,85922700
2020-03-20,130.1876983642578,139.42927100819978,128.77539128682722,138.38662625800293,84866200
2020-03-23,128.8891143798828,133.23977291994353,125.6095493819508,129.86540232404437,78975200
2020-03-24,140.60459899902344,141.79890378670194,133.90328159423055,136.25395446330393,82516700
2020-03-25,139.25868225097656,146.28228256625601,136.9080088143488,141.14491656968082,75638200
2020-03-26,147.9694366455078,148.4907590553709,140.63304405067825,140.66147850366175,64568100
2020-03-27,141.89370727539062,146.81307068348792,141.41978038772191,143.8368104074525,57042300
2020-03-30,151.8745880126953,152.22530370208108,142.18752244275748,144.49081435919743,63420300
2020-03-31,149.48602294921875,156.1873415159035,148.39598244665945,151.08788365564143,77927200
2020-04-01,144.17800903320312,149.52390266074318,142.95528427536644,145.02159814322476,57969900
2020-04-02,147.16375732421875,147.37228629111345,142.5192800719628,143.94106059364518,49630700
2020-04-03,145.8083038330078,149.1731866089132,144.25382469080233,147.0120818127518,41243300
2020-04-06,156.65179443359375,157.81765050477165,149.36279672981783,151.95992123012604,67111700
2020-04-07,154.964599609375,161.13512171051497,154.74658285480595,160.74649823995173,62769000
2020-04-08,156.51907348632812,157.97876170284414,154.97406745173703,157.03090807928612,48318200
2020-04-09,156.5285186767578,158.6422278276437,154.81290624062876,157.68490104666392,51385100
2020-04-13,156.87925720214844,156.936140571891,153.83665499194112,155.77975792648093,41905300
2020-04-14,164.64218139648438,164.6895769731253,159.23941831070533,160.18727199112618,52874300
2020-04-15,162.91708374023438,164.51895866137778,160.41475077875486,162.27253576214963,40940800
2020-04-16,167.80801391601562,168.0355040124014,163.883900147735,165.21090401533556,50479600
2020-04-17,169.28668212890625,170.61367156696483,166.69903103004185,170.13974470150103,52765600
2020-04-20,165.9312744140625,169.42885704991627,165.86493217267332,167.41941173715273,36669600
2020-04-21,159.0688018798828,164.61373689398496,157.4479658215462,164.452603513722,56203700
2020-04-22,164.47157287597656,164.92653858793065,161.91237085947336,162.45263993058774,34620200
2020-04-23,162.48109436035156,165.9312815649868,161.997694135911,165.0308233603539,32790800
2020-04-24,165.44784545898438,165.4573187880793,161.80809117902592,163.087684835539,34277600
2020-04-27,164.9739227294922,167.67529682402676,164.26303252623075,167.38146452077441,33194400
2020-04-28,160.9550323486328,166.50945553550488,160.55693553548355,166.43362550493845,34392700
2020-04-29,168.1776885986328,168.41465204272475,162.91711171027274,164.18723229946127,51286600
2020-04-30,169.8648681640625,170.99280191954153,167.0402537209176,170.613666224283,53875900
2020-05-01,165.46682739257812,169.32458443172894,164.93601717144193,166.63268339420114,39370500
2020-05-04,169.51412963867188,169.66578968159777,164.7369539912882,165.3909752711956,30372900
2020-05-05,171.3340301513672,174.073326774574,170.5188753882451,171.20133121146824,36839200
2020-05-06,173.0211944580078,174.59463494769062,172.15865865064302,172.58518988955504,32139300
2020-05-07,174.02590942382812,174.92636736158275,173.0590947983911,174.5661784012422,28316000
2020-05-08,175.0496368408203,175.35295700603842,173.79847731704947,175.3339958799369,30877800
2020-05-11,177.00222778320312,177.73206481211713,173.31507699714257,173.59942157303036,30892700
2020-05-12,172.9927520751953,177.28652764537918,172.79371092227436,177.05905204204092,32038200
2020-05-13,170.37669372558594,174.45246731650903,167.33407714285644,173.0306868403567,44711500
2020-05-14,171.11598205566406,171.26764207870445,166.5188870410364,168.28189503536728,41873900
2020-05-15,173.60887145996094,177.30549477035595,167.77008972494357,169.7226658562342,46610400
2020-05-18,175.26763916015625,176.49036412535662,174.36718099656215,176.06383283345417,35264500
2020-05-19,174.05438232421875,176.8695090149878,173.92168338263468,175.38137174005942,26799100
2020-05-20,176.46865844726562,176.6492545653056,174.83380817279541,175.66073302552329,31261300
2020-05-21,174.3490447998047,177.428649474258,174.21597626776312,176.22151846713524,29119500
2020-05-22,174.42503356933594,175.32801387592917,173.50305383772445,174.12088323188706,20826900
2020-05-26,172.5811004638672,177.26702615062376,172.13436738782855,177.11494371976403,36073600
2020-05-27,172.8092041015625,172.98030045667377,167.85714157024967,171.27890913531226,39517100
