Date,Close,High,Low,Open,Volume
2020-01-02,121.93695068359375,121.97872104466268,121.19348414405522,121.85340996145588,5777000
2020-01-03,120.52520751953125,121.43574283926573,119.45595246127824,119.87363061673726,5752400
2020-01-06,120.3748550415039,120.45838302852418,119.33065960480288,120.2913143079573,7731300
2020-01-07,121.10995483398438,121.50257332128415,118.10267975151744,120.29965818968705,7382900
2020-01-08,121.09327697753906,121.94533138169218,120.04071968948372,121.01808520944375,6605800
2020-01-09,121.45248413085938,121.98711179466946,121.11834662092643,121.7615619648738,6112700
2020-01-10,121.1767578125,122.11235259638791,121.04309777293804,121.75315557990342,5042600
2020-01-13,121.71141052246094,121.78658953039472,120.89276491640004,121.52763111649463,4593200
2020-01-14,122.39643859863281,122.47161762486495,120.90114331764067,121.16846351739318,7037500
2020-01-15,122.80572509765625,123.13151354485731,122.16250992403207,122.29615724469811,4960300
2020-01-16,123.7998046875,124.33443222508535,122.12909203923002,123.14822777439677,6476000
2020-01-17,124.6100845336914,124.81057461319018,123.57423824273407,123.97521840173162,9083600
2020-01-21,124.6936264038086,125.44544190244748,124.05039854602461,124.11722857314075,9543900
2020-01-22,123.84156799316406,124.61844321198976,121.96201637100812,122.5467632152627,10305300
2020-01-23,124.07543182373047,124.27592186243737,122.59684806125587,123.66610277464946,8671900
2020-01-24,123.90003204345703,124.4262977577846,123.57423090367423,124.11722005678877,9051900
2020-01-27,124.2592544555664,124.8523630600947,122.79738087373622,123.2317697356502,7587100
2020-01-28,124.8857650756836,125.77960242231666,123.75802898809569,124.01700014449784,7336600
2020-01-29,125.75454711914062,126.29753642822966,124.57670427995724,124.8440117003405,6288600
2020-01-30,125.60420227050781,125.72950064532085,124.50988730871236,125.32853309939065,6470600
2020-01-31,124.35948944091797,125.30344614745032,124.16736105918574,125.09460707053789,8651700
2020-02-03,125.44547271728516,125.71279289141508,124.66859736095903,124.81895539901151,5765200
2020-02-04,126.64000701904297,127.60066156560806,126.30585688585023,126.5481173257305,6541400
2020-02-05,128.6365203857422,128.6615800548565,126.39775888816817,126.74025802809777,5979900
2020-02-06,128.25225830078125,129.06255497308518,127.59233239838717,128.8537158873682,6201200
2020-02-07,126.88227844238281,128.19379406071573,126.59826033594408,128.0935426287464,5700300
2020-02-10,126.85720825195312,126.89897861626618,126.0469116210772,126.70683748973127,4835600
2020-02-11,126.9657974243164,127.291585842713,126.58987692526115,127.2163940949873,3715300
2020-02-12,126.21397399902344,127.09944959331881,126.07196496470483,126.86555086073228,5166800
2020-02-13,125.3786392211914,126.17222525317948,125.20322151496067,125.43712028761973,5480200
2020-02-14,125.41202545166016,125.83805250815324,124.59336723036571,125.77122248519919,5716300
2020-02-18,124.58505249023438,125.92162782352504,124.51822244891713,125.69607802739525,7230700
2020-02-19,124.41793823242188,125.10292359884714,124.11720952980234,124.64348794601713,6115200
2020-02-20,123.94185638427734,124.78557471977327,123.13155945130242,124.14234655981238,7464700
2020-02-21,125.24498748779297,125.50395869656325,123.2484860652947,123.70793466598008,7776800
2020-02-24,122.6640625,125.26176995255773,122.1092086282484,123.16006240301817,10588900
2020-02-25,121.60481262207031,123.37025236972748,120.91545910893072,122.73133779318265,10529000
2020-02-26,120.7893295288086,122.9246715720872,120.71367113607478,122.193281453384,10093800
2020-02-27,116.955810546875,121.7056770185899,116.812895981476,119.84776201279473,12566700
2020-02-28,113.0550537109375,115.41737104442447,109.97816347696457,113.79485890466923,19820300
2020-03-02,117.71248626708984,117.80496194870877,112.65997112343511,113.30730089476755,11508200
2020-03-03,113.98821258544922,118.52790878855818,111.89491998394838,117.69562794437017,13662500
2020-03-04,120.62120819091797,120.75572056625462,115.29128038931307,115.74524362131658,10560500
2020-03-05,119.38538360595703,119.94863965488938,117.56110310567654,118.36816439877315,11339200
2020-03-06,119.40220642089844,120.22607217571722,115.51825503466232,116.41777918141449,12239100
2020-03-09,114.70281219482422,117.42661741848785,113.40815294720029,114.61033653427965,13848600
2020-03-10,119.07435607910156,119.33496579270441,112.84489110867214,117.67041681422343,12698100
2020-03-11,110.8020248413086,116.64476927738984,110.5498173692019,116.0899154043161,17763400
2020-03-12,105.4300765991211,112.44977318356081,104.66505185627707,107.02736944813432,21539200
2020-03-13,112.89531707763672,113.42495148497511,104.79113969428695,108.7171342710729,20084200
2020-03-16,106.87602996826172,112.44975607897113,102.92482234186838,103.88320047106,18877900
2020-03-17,114.82888793945312,114.98021754997492,107.44769222258394,108.06980226085432,18911800
2020-03-18,113.4585952758789,114.05547308518302,108.20432597239805,110.14630185451563,17521100
