Date,Close,High,Low,Open,Volume
2020-01-02,67.83251190185547,67.83251190185547,66.73276652225083,66.82792341596551,27278000
2020-01-03,67.47766876220703,68.08379778892568,66.77390994004057,66.80761528460377,23408000
2020-01-06,69.27619934082031,69.30147266725574,66.9562713205034,66.98748864292274,46768000
2020-01-07,69.14240264892578,69.55821779935313,68.96646485726092,69.4075533410106,34330000
2020-01-08,69.63452911376953,69.97203621725023,69.0194842397815,69.12801890142514,35314000
2020-01-09,70.36554718017578,70.80613648268411,69.8907534284605,70.47160139102655,33200000
2020-01-10,70.82002258300781,71.11639816188107,70.3561412229082,70.84530347811571,26258000
2020-01-13,71.36866760253906,71.44052494087894,70.64210838991625,71.13176223123057,30730000
2020-01-14,70.90080261230469,71.49750880179123,70.76103550256398,71.36716436377095,26076000
2020-01-15,71.32752990722656,71.40583792168397,70.95384451597616,71.02124763841545,21550000
2020-01-16,71.87071228027344,71.89747539401914,71.3671740127522,71.63727803469492,26080000
2020-01-17,73.32579803466797,73.37684381090587,72.18739403885324,72.48426114877846,52424000
2020-01-21,73.46110534667969,73.83925246721381,72.86439154992613,73.30002755955512,48930000
2020-01-22,73.5413818359375,74.36954091002987,73.48142006681404,73.83181338382326,28458000
2020-01-23,73.58202362060547,74.0186578379967,73.36544584943454,73.72377206652983,26650000
2020-01-24,72.66417694091797,74.0533557502206,72.51598536486014,73.98496196506716,29786000
2020-01-27,70.95730590820312,71.19767480231553,70.35117700362538,70.94789079814586,34132000
2020-01-28,71.88755798339844,72.10066465532061,70.88940505128319,71.45340418513541,29724000
2020-01-29,72.19483184814453,72.56356386926777,71.63430381972567,72.2820558505161,21566000
2020-01-30,72.07341766357422,72.1229736667599,71.11937574477422,71.27301221062503,27110000
2020-01-31,71.00934600830078,72.83763191582841,70.72585665176216,72.74792746502517,43822000
2020-02-03,73.47844696044922,73.66182608356632,72.19036913116597,72.44015314026151,71636000
2020-02-04,71.63529205322266,72.7221511823301,70.47656803193662,72.08530406404785,95880000
2020-02-05,71.66700744628906,72.58536256030895,70.85570477873623,72.53728878225081,36376000
2020-02-06,73.14986419677734,73.42691043576079,71.88656813376596,71.96090591264428,37822000
2020-02-07,73.30548858642578,73.60978951764092,72.62651160369214,72.72464050558949,28360000
2020-02-10,74.77000427246094,74.78090916442083,73.11171202305549,73.21232137301007,38302000
2020-02-11,74.83939361572266,75.82168850051549,74.61092023332822,74.99848253884697,34852000
